Station Id,Station,Précédent,Suivant,Temps entre 2 stations,Temps de Changement
283,Trinité - d'Estienne d'Orves,Notre-Dame-de-Lorette,Saint-Lazare,2.0,
284,Saint-Lazare,Trinité - d'Estienne d'Orves,Madeleine,1.0,4.0
285,Madeleine,Saint-Lazare,Concorde,2.0,1.0
286,Concorde,Madeleine,Assemblée Nationale,3.0,3.0
287,Assemblée Nationale,Concorde,Solférino,2.0,
288,Solférino,Assemblée Nationale,Rue du Bac,1.0,1.0
289,Rue du Bac,Solférino,Sèvres - Babylone,2.0,
290,Sèvres - Babylone,Rue du Bac,Rennes,1.0,2.0
291,Rennes,Sèvres - Babylone,Notre-Dame des Champs,1.0,
292,Notre-Dame des Champs,Rennes,Montparnasse Bienvenue,2.0,
293,Montparnasse Bienvenue,Notre-Dame des Champs,Falguière,2.0,4.0
294,Falguière,Montparnasse Bienvenue,Pasteur,1.0,
295,Pasteur,Falguière,Volontaires,2.0,2.0
296,Volontaires,Pasteur,Vaugirard,,
297,Vaugirard,Volontaires,Convention,1.0,
298,Convention,Vaugirard,Porte de Versailles,2.0,
299,Porte de Versailles,Convention,Porte de Vanves,1.0,
300,Porte de Vanves,Porte de Versailles,Plaisance,2.0,
301,Plaisance,Porte de Vanves,Pernety,3.0,
302,Pernety,Plaisance,Gaîté,2.0,
303,Gaîté,Pernety,Montparnasse Bienvenue,3.0,
304,Montparnasse Bienvenue,Gaîté,Duroc,2.0,4.0
305,Duroc,Montparnasse Bienvenue,Saint-François-Xavier,2.0,2.0
306,Saint-François-Xavier,Duroc,Varenne,2.0,
307,Varenne,Saint-François-Xavier,Invalides,1.0,
308,Invalides,Varenne,Champs-Elysées - Clemenceau,1.0,2.0
309,Champs-Elysées - Clemenceau,Invalides,Miromesnil,4.0,1.0
310,Miromesnil,Champs-Elysées - Clemenceau,Saint-Lazare,1.0,2.0
311,Saint-Lazare,Miromesnil,Liège,2.0,3.0
312,Liège,Saint-Lazare,Place de Clichy,1.0,
313,Place de Clichy,Liège,La Fourche,3.0,2.0
314,La Fourche,Place de Clichy,Guy Môquet,1.0,
315,Guy Môquet,La Fourche,Porte de Saint-Ouen,4.0,
316,Porte de Saint-Ouen,Guy Môquet,La Fourche,1.0,
317,La Fourche,Porte de Saint-Ouen,Brochant,2.0,
318,Brochant,La Fourche,Porte de Clichy,1.0,
319,Porte de Clichy,Brochant,Porte de Clichy,1.0,2.0
320,Porte de Clichy,Porte de Clichy,Pont Cardinet,1.0,
321,Pont Cardinet,Porte de Clichy,Saint-Lazare,4.0,
322,Saint-Lazare,Pont Cardinet,Madeleine,2.0,4.0
323,Madeleine,Saint-Lazare,Pyramides,1.0,2.0
324,Pyramides,Madeleine,Châtelet,1.0,1.0
325,Châtelet,Pyramides,Gare de Lyon,3.0,4.0
326,Gare de Lyon,Châtelet,Bercy,3.0,4.0
327,Bercy,Gare de Lyon,Cour Saint-Emilion,2.0,2.0
328,Cour Saint-Emilion,Bercy,Bibliothèque François Mitterrand,1.0,
329,Bibliothèque François Mitterrand,Cour Saint-Emilion,Olympiades,2.0,2.0
330,Olympiades,Bibliothèque François Mitterrand,Olympiades,1.0,
331,Olympiades,Olympiades,Maison Blanche,2.0,
332,Maison Blanche,Olympiades,,1.0,
